datetime,condo,focal_id,sex,behavior,grid_cell,cell_location,partner_id,partner_interaction
2018-06-27T06:26:00Z,6B,3PS,F,S,A02,C,,
2018-06-27T06:27:00Z,6B,3HO,F,S,W,,,
2018-06-27T06:27:00Z,6B,2B3,M,S,W,,,
2018-06-27T06:28:00Z,6B,2LM,M,S,A09,B,,
2018-06-27T06:29:00Z,6B,3KL,F,DEAD,A10,T,,
2018-06-27T06:39:00Z,6B,3PL,F,S,B17,B,,
2018-06-27T06:31:00Z,6B,3VS,F,S,C09,C,,
2018-06-27T06:32:00Z,6B,2MO,M,CRT,C01,B,3TL,Mating Partners
2018-06-27T06:32:00Z,6B,3TL,F,CRT,C01,B,2MO,Mating Partners
2018-06-27T06:32:00Z,6B,3TL,F,CRT,C01,B,3VX,5 CM Partners
2018-06-27T06:32:00Z,6B,3VX,F,S,C01,T,3TL,5 CM Partners
2018-06-27T06:32:00Z,6B,3VX,F,S,C01,T,2MO,5 CM Partners
2018-06-27T06:32:00Z,6B,2MO,M,CRT,C01,B,3VX,5 CM Partners
2018-06-27T06:34:00Z,6B,3KP,F,S,M,,,
2018-06-27T06:35:00Z,6B,UKM,M,S,M,,,
2018-06-27T06:37:00Z,6B,3OP,F,S,M,,,
2018-06-27T06:38:00Z,6B,3WL,F,S,W,,,
2018-06-27T06:39:00Z,6A,3SS,F,S,LEG,,,
2018-06-27T06:40:00Z,6A,2PL,M,S,A03,C,,
2018-06-27T06:41:00Z,6A,2KV,M,CRT,A07,C,3FO,Mating Partners
2018-06-27T06:41:00Z,6A,3FO,F,CRT,A07,C,2KV,Mating Partners
2018-06-27T06:42:00Z,6A,3HK,F,S,A09,C,,
2018-06-27T06:43:00Z,6A,UKF,F,S,A13,C,3WM,5 CM Partners
2018-06-27T06:43:00Z,6A,3WM,F,G,A13,C,UKF,5 CM Partners
2018-06-27T06:43:00Z,6A,3WM,F,G,A13,C,UK,Mating Partners
2018-06-27T06:43:00Z,6A,UK,UK,G,A13,C,3WM,Mating Partners
2018-06-27T06:43:00Z,6A,UK,UK,G,A13,C,UKF,5 CM Partners
2018-06-27T06:43:00Z,6A,UK,UK,G,A13,C,2MA,5 CM Partners
2018-06-27T06:43:00Z,6A,2MA,M,S,A13,C,UK,5 CM Partners
2018-06-27T06:43:00Z,6A,2MA,M,S,A13,C,UKF,5 CM Partners
2018-06-27T06:43:00Z,6A,UKF,F,S,A13,C,2MA,5 CM Partners
2018-06-27T06:43:00Z,6A,UKF,F,S,A13,C,UK,5 CM Partners
2018-06-27T06:43:00Z,6A,3WM,F,G,A13,C,2MA,5 CM Partners
2018-06-27T06:43:00Z,6A,2MA,M,S,A13,C,3WM,5 CM Partners
2018-06-27T06:50:00Z,6A,3M7,F,S,B10,C,,
2018-06-27T06:51:00Z,6A,2VM,M,S,C12,B,,
2018-06-27T06:52:00Z,6A,2KS,M,G,C16,C,3V3,Mating Partners
2018-06-27T06:52:00Z,6A,3V3,F,G,C16,C,2KS,Mating Partners
2018-06-27T06:53:00Z,6A,3ZO,F,S,W,,,
2018-06-27T06:54:00Z,6A,2VY,M,S,W,,,
2018-06-27T06:55:00Z,6A,3MZ,F,S,W,,,
2018-06-27T06:55:00Z,6A,UKF,F,S,W,,,
2018-06-27T06:56:00Z,6A,2N2,M,S,US,,,
2018-06-27T06:57:00Z,6A,3TT,F,S,US,,,
2018-06-27T06:58:00Z,6A,2H7,M,S,M,,,
2018-06-27T06:59:00Z,6A,2FT,M,S,M,,,
2018-06-27T07:00:00Z,6A,2MB,M,S,W,,,
2018-06-27T07:01:00Z,6A,UKM,M,S,W,,,
2018-06-27T07:04:00Z,5B,3OH,F,S,A01,C,,
2018-06-27T07:05:00Z,5B,2MS,M,S,A08,C,3OX,5 CM Partners
2018-06-27T07:05:00Z,5B,3OX,F,S,A09,C,2MS,5 CM Partners
2018-06-27T07:05:00Z,5B,3OX,F,S,A09,C,3O6,5 CM Partners
2018-06-27T07:05:00Z,5B,3O6,F,S,A09,C,3OX,5 CM Partners
2018-06-27T07:05:00Z,5B,3O6,F,S,A09,C,UKM,5 CM Partners
2018-06-27T07:05:00Z,5B,UKM,M,S,A09,C,3O6,5 CM Partners
2018-06-27T07:05:00Z,5B,UKM,M,S,A09,C,3OX,5 CM Partners
2018-06-27T07:05:00Z,5B,3OX,F,S,A09,C,UKM,5 CM Partners
2018-06-27T07:05:00Z,5B,3OX,F,S,A09,C,2BV,5 CM Partners
2018-06-27T07:05:00Z,5B,2BV,M,CRT,A09,C,3OX,5 CM Partners
2018-06-27T07:05:00Z,5B,2BV,M,CRT,A09,C,3B7,Mating Partners
2018-06-27T07:05:00Z,5B,3B7,F,CRT,A09,C,2BV,Mating Partners
2018-06-27T07:05:00Z,5B,3B7,F,CRT,A09,C,3O6,Touch Partners
2018-06-27T07:05:00Z,5B,3O6,F,S,A09,C,3B7,Touch Partners
2018-06-27T07:05:00Z,5B,3O6,F,S,A09,C,2BV,Touch Partners
2018-06-27T07:05:00Z,5B,2BV,M,CRT,A09,C,3O6,Touch Partners
2018-06-27T07:05:00Z,5B,2BV,M,CRT,A09,C,UKM,5 CM Partners
2018-06-27T07:05:00Z,5B,UKM,M,S,A09,C,2BV,5 CM Partners
2018-06-27T07:05:00Z,5B,UKM,M,S,A09,C,3B7,5 CM Partners
2018-06-27T07:05:00Z,5B,3B7,F,CRT,A09,C,UKM,5 CM Partners
2018-06-27T07:05:00Z,5B,3B7,F,CRT,A09,C,3OX,5 CM Partners
2018-06-27T07:05:00Z,5B,3OX,F,S,A09,C,3B7,5 CM Partners
2018-06-27T07:13:00Z,5B,3YB,F,S,A09,B,3FM,Touch Partners
2018-06-27T07:13:00Z,5B,3FM,F,S,A09,B,3YB,Touch Partners
2018-06-27T07:13:00Z,5B,3FM,F,S,A09,B,2NK,Touch Partners
2018-06-27T07:13:00Z,5B,2NK,M,S,A09,B,3FM,Touch Partners
2018-06-27T07:13:00Z,5B,2NK,M,S,A09,B,3YB,Touch Partners
2018-06-27T07:15:00Z,5B,3LX,F,S,A17,C,2VP,5 CM Partners
2018-06-27T07:15:00Z,5B,2VP,M,S,A17,B,3LX,5 CM Partners
2018-06-27T07:15:00Z,5B,3NK,F,S,A18,B,,
2018-06-27T07:18:00Z,5B,3OB,F,G,A10,B,2MH,Mating Partners
2018-06-27T07:18:00Z,5B,2MH,M,G,A10,B,3OB,Mating Partners
2018-06-27T07:18:00Z,5B,2MH,M,G,A10,B,3AW,5 CM Partners
2018-06-27T07:18:00Z,5B,3AW,F,S,A10,B,2MH,5 CM Partners
2018-06-27T07:18:00Z,5B,3AW,F,S,A10,B,3OB,5 CM Partners
2018-06-27T07:18:00Z,5B,3OB,F,G,A10,B,3AW,5 CM Partners
2018-06-27T07:18:00Z,5B,3OB,F,G,A10,B,3LH,Touch Partners
2018-06-27T07:18:00Z,5B,3LH,F,S,A10,B,3OB,Touch Partners
2018-06-27T07:18:00Z,5B,3LH,F,S,A10,B,2MH,Touch Partners
2018-06-27T07:18:00Z,5B,2MH,M,G,A10,B,3LH,Touch Partners
2018-06-27T07:18:00Z,5B,3LH,F,S,A10,B,3AW,5 CM Partners
2018-06-27T07:18:00Z,5B,3AW,F,S,A10,B,3LH,5 CM Partners
2018-06-27T07:19:00Z,5B,2TM,M,CRT,A09,C,UKF,Mating Partners
2018-06-27T07:19:00Z,5B,UKF,F,CRT,A09,C,2TM,Mating Partners
2018-06-27T07:22:00Z,5B,3TN,F,S,C01,B,3N3,Touch Partners
2018-06-27T07:22:00Z,5B,3N3,F,S,C01,B,3TN,Touch Partners
