# source, target, weight
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
1,6,1
1,21,1
1,27,4
1,7,5
1,8,3
1,3,1
1,11,1
1,12,2
1,14,1
1,22,2
1,23,3
1,25,5
1,26,2
1,20,4
2,27,1
2,7,1
2,8,7
2,1,1
2,3,1
2,13,7
2,14,5
2,22,8
2,15,2
2,17,3
2,23,2
2,24,3
2,4,1
2,18,5
2,25,4
2,19,6
2,20,1
2,5,5
3,1,1
3,2,2
3,10,1
3,11,1
3,14,2
3,22,1
3,15,1
3,17,2
3,23,3
3,24,2
3,4,1
3,18,2
3,25,2
3,19,1
3,26,1
3,20,1
3,5,1
4,15,1
4,20,1
6,7,5
6,8,2
6,9,1
6,2,4
6,10,1
6,3,2
6,11,1
6,12,4
6,13,2
6,14,3
6,15,4
6,16,1
6,17,1
6,18,7
6,19,1
6,20,4
7,8,1
7,2,10
7,3,3
7,12,5
7,14,4
7,22,7
7,15,1
7,16,1
7,17,1
7,23,5
7,18,8
7,25,6
7,20,3
7,5,1
8,27,7
8,10,2
8,3,3
8,12,2
8,13,4
8,14,1
8,22,3
8,15,2
8,16,2
8,17,3
8,24,3
8,18,4
8,25,9
8,19,2
8,20,1
8,5,4
9,21,1
9,15,1
9,26,1
10,2,1
10,13,2
10,22,2
10,15,1
10,16,2
10,17,1
10,24,1
10,4,1
10,25,2
10,20,1
11,8,1
11,1,2
11,15,5
11,4,1
11,25,1
11,19,2
11,20,1
12,2,5
12,10,2
12,13,2
12,14,2
12,22,2
12,16,1
12,17,1
12,23,3
12,24,2
12,18,3
12,25,1
12,19,2
12,26,1
12,5,3
13,10,1
13,3,2
13,12,3
13,16,7
13,23,3
13,24,3
13,18,4
13,25,3
13,19,3
13,20,1
13,5,1
14,13,2
14,22,6
14,16,1
14,17,2
14,23,1
14,18,3
14,25,3
14,19,2
14,26,1
14,20,2
14,5,1
15,1,4
15,14,2
15,16,1
15,17,2
15,18,2
15,25,1
15,19,2
15,20,1
15,5,1
16,12,1
16,13,1
16,24,1
16,19,1
16,26,2
16,20,1
16,5,1
17,3,1
17,22,10
17,23,1
17,24,1
17,18,3
17,25,4
17,19,2
17,26,3
17,20,4
17,5,6
18,17,1
18,23,5
18,24,1
18,25,2
18,19,1
18,26,1
18,5,5
19,25,1
19,20,3
20,5,10
21,7,7
21,8,4
21,2,12
21,3,1
21,12,2
21,13,2
21,14,2
21,22,12
21,17,2
21,23,4
21,24,2
21,18,6
21,25,1
21,26,1
21,20,4
21,5,3
22,13,1
22,16,1
22,24,1
22,18,1
22,25,2
22,19,3
22,26,2
22,20,4
22,5,2
23,22,1
23,17,3
23,25,3
23,19,3
23,20,4
23,5,11
24,13,2
24,17,3
24,23,8
24,19,8
24,20,2
24,5,2
25,19,5
25,20,1
25,5,2
26,25,1
27,21,8
27,2,1
27,10,1
27,11,1
27,13,3
27,22,2
27,15,1
27,16,1
27,24,2
27,18,2
27,25,3
27,19,1
27,26,1
27,20,3
27,5,2
