# source, target, weight
0,1,1
0,2,1
0,3,6
0,4,2
0,5,1
0,6,2
0,7,1
0,8,3
0,9,2
0,10,5
0,11,2
0,12,2
0,13,1
0,14,2
0,15,3
0,16,1
0,17,1
0,18,1
0,19,2
0,20,1
0,21,1
0,22,1
0,23,5
0,24,2
0,25,3
0,26,2
0,27,3
0,28,2
0,29,1
0,30,1
0,31,3
0,32,1
0,33,1
0,34,1
1,35,1
1,3,8
1,4,1
1,36,2
1,5,1
1,6,4
1,7,2
1,8,3
1,10,3
1,11,2
1,12,4
1,13,4
1,14,1
1,15,2
1,17,1
1,37,1
1,18,2
1,38,1
1,39,2
1,40,1
1,19,2
1,20,1
1,21,1
1,22,4
1,23,1
1,41,1
1,30,1
1,42,1
1,43,2
1,44,1
1,45,1
1,46,1
1,33,1
2,35,1
2,3,5
2,4,3
2,36,4
2,5,5
2,6,1
2,7,1
2,10,5
2,11,6
2,13,5
2,15,2
2,16,1
2,17,1
2,37,1
2,39,1
2,20,3
2,21,1
2,22,2
2,24,1
2,26,1
2,27,1
2,28,2
2,29,1
2,47,1
2,48,1
2,45,1
2,32,3
2,46,1
2,33,2
2,34,1
3,4,4
3,36,4
3,5,3
3,6,1
3,7,6
3,8,7
3,9,1
3,10,3
3,11,3
3,12,3
3,13,5
3,15,2
3,16,2
3,17,2
3,49,2
3,55,2
3,38,4
3,39,1
3,40,2
3,20,1
3,50,4
3,22,3
3,24,3
3,25,1
3,26,2
3,27,1
3,28,1
3,30,2
3,48,2
3,44,3
3,45,1
3,53,1
3,34,3
3,54,2
3,56,1
3,57,1
4,36,4
4,6,1
4,7,1
4,8,1
4,9,2
4,11,2
4,12,2
4,13,2
4,14,5
4,15,2
4,17,4
4,37,1
4,18,2
4,49,3
4,55,5
4,38,6
4,39,2
4,40,1
4,19,1
4,20,2
4,21,2
4,50,4
4,58,2
4,22,4
4,23,1
4,24,1
4,25,2
4,26,3
4,27,1
4,41,2
4,28,1
4,29,1
4,30,3
4,42,2
4,59,1
4,48,1
4,52,1
4,43,4
4,44,1
4,60,2
4,32,2
4,46,1
4,53,3
4,33,1
4,34,4
4,54,3
4,57,1
5,6,3
5,7,2
5,8,1
5,9,3
5,10,3
5,11,1
5,12,3
5,13,1
5,14,3
5,15,3
5,37,1
5,18,1
5,55,2
5,38,2
5,39,2
5,40,1
5,20,1
5,21,1
5,23,1
5,24,2
5,25,1
5,28,1
5,47,2
5,48,1
5,60,2
5,32,2
5,53,2
5,33,2
5,34,2
5,61,1
6,7,4
6,8,5
6,12,3
6,13,1
6,14,1
6,15,2
6,17,1
6,49,3
6,39,2
6,20,1
6,21,1
6,50,1
6,22,1
6,23,1
6,25,4
6,26,1
6,59,1
6,48,2
6,32,2
6,46,1
6,54,1
6,57,1
7,4,2
7,8,3
7,9,1
7,10,4
7,11,1
7,12,2
7,13,3
7,14,3
7,15,4
7,17,4
7,37,1
7,18,1
7,49,1
7,55,2
7,39,1
7,40,1
7,20,4
7,21,1
7,50,2
7,58,3
7,22,4
7,23,1
7,24,2
7,25,2
7,26,3
7,27,1
7,41,1
7,28,2
7,30,1
7,42,3
7,48,2
7,32,3
7,46,1
7,53,1
7,33,1
7,34,1
7,54,1
8,9,2
8,10,2
8,11,2
8,12,1
8,13,3
8,14,3
8,15,2
8,37,2
8,18,2
8,49,1
8,39,1
8,40,1
8,21,1
8,58,1
8,51,1
8,23,3
8,26,1
8,28,1
8,42,1
8,44,1
8,45,1
8,32,1
8,53,1
8,33,4
8,56,1
9,10,3
9,11,1
9,12,1
9,14,1
9,15,3
9,18,2
9,49,2
9,55,2
9,38,1
9,39,2
9,40,1
9,19,1
9,20,4
9,21,6
9,50,2
9,58,1
9,51,1
9,22,1
9,24,1
9,25,2
9,26,1
9,27,1
9,28,2
9,30,2
9,59,2
9,47,3
9,43,1
9,31,1
9,32,1
9,46,1
9,53,1
9,56,1
10,4,4
10,36,1
10,11,3
10,12,2
10,13,3
10,14,5
10,15,3
10,17,1
10,18,2
10,49,1
10,39,2
10,40,1
10,20,1
10,21,1
10,50,1
10,58,1
10,22,1
10,23,3
10,24,1
10,25,3
10,27,1
10,41,1
10,28,2
10,30,1
10,59,1
10,52,3
10,43,2
10,44,2
10,31,3
10,45,1
10,32,2
10,46,1
10,53,1
10,33,2
10,34,3
10,56,1
10,57,1
11,36,1
11,7,1
11,13,3
11,14,2
11,15,2
11,16,3
11,17,2
11,18,1
11,49,2
11,38,2
11,40,1
11,19,1
11,20,2
11,21,1
11,50,1
11,58,2
11,51,1
11,22,1
11,24,2
11,25,2
11,41,1
11,30,1
11,42,1
11,44,1
11,32,3
11,46,1
11,33,1
11,57,1
12,8,1
12,13,2
12,14,1
12,15,2
12,16,2
12,17,5
12,55,1
12,39,3
12,20,1
12,58,1
12,23,2
12,24,4
12,25,4
12,26,2
12,28,2
12,29,1
12,59,3
12,44,1
12,31,2
12,45,1
12,32,1
12,46,1
12,34,2
12,56,1
13,14,4
13,15,3
13,16,3
13,37,2
13,18,1
13,49,2
13,55,1
13,38,1
13,39,2
13,40,2
13,19,1
13,20,4
13,50,1
13,58,1
13,51,1
13,22,2
13,23,2
13,24,1
13,25,1
13,41,1
13,28,2
13,47,2
13,52,2
13,43,2
13,44,1
13,31,1
13,45,1
13,32,4
13,46,1
13,53,2
13,34,3
13,56,1
13,57,2
14,15,3
14,17,1
14,55,6
14,38,2
14,39,3
14,40,1
14,20,1
14,21,1
14,50,1
14,58,2
14,51,2
14,22,2
14,23,2
14,24,1
14,25,2
14,26,1
14,41,1
14,30,2
14,42,2
14,59,2
14,52,3
14,43,4
14,44,1
14,32,2
14,46,1
14,53,1
14,33,1
14,54,1
14,56,1
14,57,1
15,12,1
15,14,2
15,16,3
15,17,2
15,37,1
15,18,1
15,49,2
15,55,2
15,38,1
15,39,2
15,40,2
15,19,3
15,20,9
15,21,2
15,50,3
15,58,4
15,51,2
15,22,5
15,23,2
15,24,3
15,25,4
15,26,2
15,27,3
15,41,1
15,28,2
15,29,2
15,30,1
15,42,1
15,48,4
15,43,1
15,44,1
15,31,1
15,60,1
15,45,2
15,32,5
15,46,3
15,53,2
15,33,4
15,54,3
15,61,1
16,11,1
16,37,2
16,18,1
16,49,2
16,55,1
16,38,4
16,39,1
16,20,1
16,50,1
16,51,1
16,22,4
16,23,5
16,24,3
16,25,1
16,26,3
16,27,2
16,41,2
16,28,2
16,29,2
16,30,4
16,59,3
16,47,2
16,48,1
16,31,1
16,32,2
16,56,1
17,6,1
17,37,2
17,18,2
17,49,1
17,55,3
17,38,2
17,19,1
17,20,1
17,21,1
17,50,1
17,22,1
17,23,1
17,24,1
17,26,5
17,27,2
17,41,4
17,28,3
17,29,2
17,30,2
17,52,1
17,43,1
17,31,1
17,32,1
17,46,2
17,33,1
17,57,1
18,49,1
18,55,1
18,39,1
18,40,2
18,19,2
18,20,5
18,21,3
18,50,2
18,58,6
18,51,3
18,23,1
18,25,1
18,26,2
18,30,1
18,42,2
18,59,3
18,47,1
18,52,5
18,31,1
18,45,2
18,46,1
18,53,5
18,33,1
18,34,3
18,54,1
18,56,2
18,61,3
18,57,1
19,20,4
19,50,2
19,58,3
19,51,4
19,24,1
19,27,1
19,42,5
19,59,3
19,47,1
19,44,1
19,45,1
19,46,1
19,53,1
19,33,1
19,34,2
19,56,1
19,57,1
20,19,1
20,21,2
20,50,5
20,58,7
20,51,6
20,23,3
20,24,4
20,25,4
20,26,4
20,27,4
20,28,1
20,42,1
20,59,1
20,47,1
20,48,1
20,43,1
20,44,4
20,31,1
20,45,3
20,32,4
20,46,1
20,53,4
20,33,4
20,56,1
21,50,2
21,58,6
21,23,2
21,25,2
21,26,3
21,28,2
21,30,2
21,59,3
21,47,1
21,48,1
21,52,2
21,43,1
21,60,1
21,45,1
21,32,1
21,46,2
21,53,1
21,33,1
21,34,2
21,57,1
22,55,1
22,23,1
22,25,1
22,28,1
22,30,2
22,59,1
22,48,1
22,31,4
22,60,1
22,32,2
22,34,1
23,21,1
23,24,3
23,25,3
23,26,1
23,27,1
23,28,3
23,29,3
23,43,1
23,44,1
23,31,1
23,45,1
23,32,2
23,53,2
23,54,1
23,56,1
24,55,2
24,38,1
24,22,1
24,26,4
24,27,2
24,41,2
24,28,2
24,29,2
24,30,3
24,42,1
24,52,2
24,43,1
24,44,1
24,31,4
24,60,1
24,45,2
24,32,1
24,46,2
24,33,1
24,34,2
24,56,1
24,57,2
25,37,1
25,26,6
25,27,1
25,28,6
25,29,9
25,30,3
25,59,1
25,52,2
25,43,2
25,44,2
25,31,2
25,60,1
25,45,6
25,32,1
25,46,4
25,34,1
25,54,2
25,61,1
25,57,1
26,27,6
26,28,2
26,29,1
26,30,2
26,42,4
26,47,1
26,48,1
26,52,3
26,43,1
26,44,5
26,31,3
26,60,1
26,45,2
26,46,1
26,53,1
26,54,1
26,57,1
27,28,2
27,29,2
27,30,4
27,47,1
27,43,1
27,44,7
27,31,2
27,45,2
27,32,6
27,46,3
27,34,1
27,54,2
27,56,4
27,61,2
28,29,1
28,30,5
28,52,1
28,43,1
28,44,1
28,60,1
28,45,2
28,32,1
28,46,1
28,33,1
28,34,2
28,57,2
29,30,3
29,47,1
29,48,1
29,52,1
29,43,2
29,60,1
29,45,1
29,34,1
29,54,2
29,57,1
30,23,1
30,26,1
30,59,1
30,47,2
30,48,1
30,52,3
30,44,4
30,31,2
30,45,1
30,32,1
30,46,1
30,34,6
30,54,2
31,60,1
31,45,2
31,46,1
31,34,1
31,57,1
32,46,1
32,53,2
32,33,1
32,34,1
32,54,1
32,56,1
33,34,4
33,54,3
33,56,1
33,61,3
33,57,2
34,54,3
34,56,2
34,61,1
34,57,2
35,3,1
35,4,2
35,36,8
35,6,1
35,7,9
35,8,1
35,9,6
35,10,1
35,12,3
35,13,4
35,14,2
35,15,6
35,17,1
35,49,1
35,39,1
35,40,3
35,19,1
35,20,8
35,21,1
35,50,1
35,51,3
35,24,1
35,25,1
35,26,1
35,42,1
35,52,1
35,43,2
35,44,2
35,31,1
35,45,1
35,32,5
35,46,3
35,53,3
35,54,1
36,4,1
36,5,2
36,6,1
36,7,3
36,8,3
36,9,1
36,10,1
36,11,4
36,12,1
36,13,1
36,14,5
36,15,3
36,16,2
36,17,4
36,37,3
36,18,1
36,49,1
36,55,5
36,38,1
36,39,1
36,40,1
36,21,1
36,50,1
36,58,1
36,22,1
36,23,1
36,24,4
36,25,3
36,26,2
36,27,1
36,41,1
36,28,4
36,29,3
36,42,1
36,59,3
36,48,1
36,44,5
36,45,2
36,32,6
36,46,2
36,53,2
36,33,1
36,34,4
36,54,1
36,56,1
36,61,1
36,57,1
37,17,1
37,55,2
37,38,2
37,20,1
37,21,1
37,58,1
37,22,1
37,24,1
37,25,1
37,26,3
37,41,1
37,28,5
37,29,2
37,30,2
37,59,1
37,48,1
37,31,1
37,32,1
37,33,1
37,34,1
37,56,2
37,61,1
38,17,1
38,18,1
38,40,2
38,21,1
38,50,2
38,26,4
38,27,4
38,41,2
38,28,8
38,29,1
38,30,5
38,59,1
38,47,1
38,52,2
38,44,3
38,60,2
38,45,2
38,53,2
38,54,4
38,56,2
39,40,1
39,19,1
39,20,6
39,21,3
39,50,3
39,58,4
39,51,2
39,23,5
39,24,4
39,25,1
39,26,2
39,27,1
39,42,2
39,59,1
39,47,2
39,48,2
39,52,2
39,43,2
39,44,1
39,45,1
39,46,2
39,53,3
39,33,3
39,61,2
39,57,3
40,21,5
40,50,5
40,23,2
40,24,1
40,25,4
40,26,3
40,27,1
40,29,1
40,59,1
40,47,3
40,52,1
40,44,2
40,31,1
40,53,2
40,33,2
40,34,2
41,28,3
41,30,4
41,52,2
41,31,2
41,33,1
41,34,2
41,54,1
41,56,1
42,59,3
42,47,1
42,48,1
42,52,3
42,43,1
42,53,2
42,33,1
42,34,3
42,54,1
42,56,1
43,44,1
43,45,1
43,46,1
43,34,1
43,54,3
44,31,2
44,45,2
44,46,1
44,33,1
44,34,1
44,56,3
45,31,1
45,33,1
45,34,2
45,54,3
45,56,3
45,61,2
46,33,1
46,34,2
46,56,1
46,57,1
47,48,4
47,52,8
47,43,1
47,53,5
47,33,1
47,34,7
47,54,1
47,56,1
47,61,3
48,52,2
48,43,1
48,31,1
48,45,2
48,32,2
48,46,2
48,53,1
48,33,1
48,34,3
48,56,1
48,61,1
49,38,1
49,39,5
49,40,1
49,20,3
49,21,3
49,50,3
49,58,2
49,51,4
49,22,1
49,23,2
49,24,2
49,26,1
49,27,3
49,29,1
49,42,2
49,59,3
49,47,2
49,48,1
49,52,4
49,43,1
49,44,1
49,60,1
49,45,1
49,46,1
49,53,2
49,33,1
49,34,4
49,61,1
49,57,2
50,19,2
50,58,2
50,51,3
50,23,6
50,24,2
50,25,4
50,26,2
50,41,1
50,28,1
50,29,1
50,30,1
50,42,2
50,59,3
50,48,3
50,52,4
50,43,1
50,44,2
50,60,1
50,45,3
50,53,2
50,33,3
50,34,2
50,56,2
50,57,1
51,20,2
51,23,1
51,24,2
51,25,5
51,28,1
51,42,6
51,59,5
51,47,4
51,48,2
51,52,4
51,43,1
51,31,1
51,45,1
51,46,1
51,53,3
51,33,1
51,34,4
51,54,1
51,56,1
51,57,1
52,43,2
52,44,4
52,60,1
52,45,1
52,32,2
52,53,2
52,33,3
52,34,3
52,54,3
52,56,3
52,61,1
53,33,1
53,34,2
53,54,3
53,56,2
53,61,3
53,57,4
54,56,1
54,61,2
55,37,1
55,38,4
55,40,1
55,20,1
55,21,1
55,23,1
55,25,1
55,26,5
55,27,2
55,41,3
55,28,3
55,29,2
55,30,4
55,48,1
55,52,2
55,43,1
55,44,1
55,31,1
55,32,3
55,46,3
55,33,1
55,34,1
55,54,1
56,61,1
56,57,1
58,51,1
58,22,3
58,23,2
58,24,1
58,25,3
58,26,1
58,28,2
58,29,1
58,30,1
58,42,3
58,59,3
58,47,3
58,48,4
58,52,4
58,43,2
58,31,2
58,60,1
58,45,3
58,53,4
58,33,5
58,34,3
58,54,2
58,56,3
58,61,5
59,48,4
59,52,4
59,43,1
59,31,1
59,53,3
59,33,1
59,34,6
59,54,1
59,56,2
59,61,5
60,56,3
