# index, _pos
0,"array([-0.44976646,  4.10827172])"
1,"array([-0.54560496,  4.1103392 ])"
2,"array([-0.5935847,  3.7949723])"
3,"array([-0.4325591 ,  3.97910445])"
4,"array([-0.4842494 ,  3.88299472])"
5,"array([-0.66502362,  4.0207681 ])"
6,"array([-0.50019331,  4.12781041])"
7,"array([-0.55237355,  4.0201992 ])"
8,"array([-0.34041751,  4.01517727])"
9,"array([-0.54147308,  3.96947894])"
10,"array([-0.3986118 ,  3.92191845])"
11,"array([-0.49941355,  4.06005454])"
12,"array([-0.41995571,  4.06930538])"
13,"array([-0.51013739,  4.00370685])"
14,"array([-0.4456159 ,  3.93025969])"
15,"array([-0.5670115 ,  3.92802326])"
16,"array([-0.67247718,  3.86205229])"
17,"array([-0.48351909,  3.96931292])"
18,"array([-0.43708307,  3.83055598])"
19,"array([-0.31007219,  3.82848209])"
20,"array([-0.4309498 ,  3.87613895])"
21,"array([-0.60018552,  3.96349133])"
22,"array([-0.7378043,  4.0149004])"
23,"array([-0.46207832,  4.02693797])"
24,"array([-0.53525934,  3.90081456])"
25,"array([-0.61758175,  3.90780168])"
26,"array([-0.52558382,  3.85389736])"
27,"array([-0.49813911,  3.77530751])"
28,"array([-0.6425183,  3.9695482])"
29,"array([-0.75134749,  3.92507024])"
30,"array([-0.67703115,  3.91950587])"
31,"array([-0.62986307,  4.0752826 ])"
32,"array([-0.60765723,  4.01642552])"
33,"array([-0.48277323,  3.82541281])"
34,"array([-0.60276252,  3.85390417])"
35,"array([-0.34320657,  3.89665827])"
36,"array([-0.57162877,  3.88211979])"
37,"array([-0.7341379 ,  3.83055066])"
38,"array([-0.71937097,  3.8840511 ])"
39,"array([-0.38554937,  3.84121065])"
40,"array([-0.58042057,  4.065328  ])"
41,"array([-0.70103247,  4.07441579])"
42,"array([-0.3876863 ,  3.70672825])"
43,"array([-0.4254302 ,  3.77618132])"
44,"array([-0.39481752,  4.0211543 ])"
45,"array([-0.63657035,  3.81838909])"
46,"array([-0.36802426,  3.96141942])"
47,"array([-0.63805355,  3.6850368 ])"
48,"array([-0.69214396,  3.77830319])"
49,"array([-0.54501248,  3.81262078])"
50,"array([-0.49679171,  3.92767975])"
51,"array([-0.36836233,  3.77678979])"
52,"array([-0.59328089,  3.73371016])"
53,"array([-0.49172132,  3.71330997])"
54,"array([-0.55032134,  3.69374202])"
55,"array([-0.70005117,  3.96825447])"
56,"array([-0.45188449,  3.73149831])"
57,"array([-0.30313252,  3.94452514])"
58,"array([-0.54626964,  3.76411222])"
59,"array([-0.63955928,  3.75178542])"
60,"array([-0.8102151,  3.8296667])"
61,"array([-0.59979739,  3.61444813])"
