ENSACAP00000000006 ENSACAP00000016093
ENSACAP00000000013 ENSACAP00000015850
ENSACAP00000000013 ENSACAP00000003169
ENSACAP00000000013 ENSACAP00000010388
ENSACAP00000000013 ENSACAP00000005328
ENSACAP00000000013 ENSACAP00000000098
ENSACAP00000000013 ENSACAP00000002608
ENSACAP00000000014 ENSACAP00000002165
ENSACAP00000000014 ENSACAP00000013302
ENSACAP00000000014 ENSACAP00000015924
ENSACAP00000000014 ENSACAP00000014342
ENSACAP00000000014 ENSACAP00000017686
ENSACAP00000000014 ENSACAP00000005074
ENSACAP00000000014 ENSACAP00000012194
ENSACAP00000000016 ENSACAP00000012305
ENSACAP00000000016 ENSACAP00000017684
ENSACAP00000000016 ENSACAP00000005261
ENSACAP00000000016 ENSACAP00000013800
ENSACAP00000000020 ENSACAP00000002352
ENSACAP00000000020 ENSACAP00000005721
ENSACAP00000000020 ENSACAP00000002400
ENSACAP00000000021 ENSACAP00000009201
ENSACAP00000000021 ENSACAP00000015496
ENSACAP00000000021 ENSACAP00000014030
ENSACAP00000000021 ENSACAP00000009583
ENSACAP00000000021 ENSACAP00000005043
ENSACAP00000000021 ENSACAP00000016364
ENSACAP00000000021 ENSACAP00000015499
ENSACAP00000000021 ENSACAP00000002633
ENSACAP00000000021 ENSACAP00000004540
ENSACAP00000000021 ENSACAP00000017516
ENSACAP00000000021 ENSACAP00000010104
ENSACAP00000000021 ENSACAP00000012274
ENSACAP00000000021 ENSACAP00000003003
ENSACAP00000000021 ENSACAP00000017182
ENSACAP00000000021 ENSACAP00000014430
ENSACAP00000000021 ENSACAP00000003357
ENSACAP00000000021 ENSACAP00000010597
ENSACAP00000000043 ENSACAP00000013921
ENSACAP00000000043 ENSACAP00000015582
ENSACAP00000000043 ENSACAP00000013678
ENSACAP00000000044 ENSACAP00000014034
ENSACAP00000000044 ENSACAP00000002015
ENSACAP00000000044 ENSACAP00000006281
ENSACAP00000000044 ENSACAP00000014737
ENSACAP00000000044 ENSACAP00000015955
ENSACAP00000000044 ENSACAP00000000603
ENSACAP00000000044 ENSACAP00000014403
ENSACAP00000000044 ENSACAP00000002172
ENSACAP00000000044 ENSACAP00000016070
ENSACAP00000000044 ENSACAP00000006062
ENSACAP00000000044 ENSACAP00000001293
ENSACAP00000000044 ENSACAP00000002724
ENSACAP00000000044 ENSACAP00000017339
ENSACAP00000000044 ENSACAP00000002922
ENSACAP00000000044 ENSACAP00000002885
ENSACAP00000000044 ENSACAP00000021595
ENSACAP00000000044 ENSACAP00000007419
ENSACAP00000000044 ENSACAP00000007377
ENSACAP00000000044 ENSACAP00000012399
ENSACAP00000000044 ENSACAP00000015633
ENSACAP00000000044 ENSACAP00000015363
ENSACAP00000000044 ENSACAP00000001330
ENSACAP00000000044 ENSACAP00000009223
ENSACAP00000000044 ENSACAP00000021533
ENSACAP00000000044 ENSACAP00000017428
ENSACAP00000000044 ENSACAP00000002595
ENSACAP00000000044 ENSACAP00000002534
ENSACAP00000000044 ENSACAP00000009858
ENSACAP00000000044 ENSACAP00000001454
ENSACAP00000000044 ENSACAP00000014851
ENSACAP00000000044 ENSACAP00000010145
ENSACAP00000000044 ENSACAP00000012532
ENSACAP00000000044 ENSACAP00000001816
ENSACAP00000000044 ENSACAP00000013382
ENSACAP00000000044 ENSACAP00000007172
ENSACAP00000000044 ENSACAP00000004881
ENSACAP00000000044 ENSACAP00000011188
ENSACAP00000000044 ENSACAP00000002926
ENSACAP00000000044 ENSACAP00000002134
ENSACAP00000000044 ENSACAP00000020720
ENSACAP00000000044 ENSACAP00000013311
ENSACAP00000000044 ENSACAP00000016898
ENSACAP00000000044 ENSACAP00000005163
ENSACAP00000000056 ENSACAP00000009296
ENSACAP00000000056 ENSACAP00000008240
ENSACAP00000000056 ENSACAP00000011652
ENSACAP00000000056 ENSACAP00000007445
ENSACAP00000000056 ENSACAP00000016632
ENSACAP00000000056 ENSACAP00000015454
ENSACAP00000000060 ENSACAP00000003671
ENSACAP00000000060 ENSACAP00000000248
ENSACAP00000000060 ENSACAP00000000810
ENSACAP00000000060 ENSACAP00000015906
ENSACAP00000000060 ENSACAP00000018682
ENSACAP00000000060 ENSACAP00000009968
ENSACAP00000000060 ENSACAP00000017099
ENSACAP00000000060 ENSACAP00000011451
ENSACAP00000000060 ENSACAP00000017179
ENSACAP00000000060 ENSACAP00000003569
ENSACAP00000000060 ENSACAP00000004901
ENSACAP00000000060 ENSACAP00000010793
ENSACAP00000000060 ENSACAP00000012035
ENSACAP00000000060 ENSACAP00000002618
ENSACAP00000000060 ENSACAP00000012157
ENSACAP00000000060 ENSACAP00000006212
ENSACAP00000000060 ENSACAP00000015898
ENSACAP00000000060 ENSACAP00000008533
ENSACAP00000000060 ENSACAP00000004868
ENSACAP00000000060 ENSACAP00000012542
ENSACAP00000000060 ENSACAP00000017076
ENSACAP00000000060 ENSACAP00000008955
ENSACAP00000000060 ENSACAP00000011269
ENSACAP00000000060 ENSACAP00000014197
ENSACAP00000000060 ENSACAP00000001332
ENSACAP00000000060 ENSACAP00000014686
ENSACAP00000000060 ENSACAP00000012329
ENSACAP00000000060 ENSACAP00000016925
ENSACAP00000000060 ENSACAP00000016848
ENSACAP00000000060 ENSACAP00000013340
ENSACAP00000000060 ENSACAP00000014979
ENSACAP00000000066 ENSACAP00000011352
ENSACAP00000000066 ENSACAP00000016450
ENSACAP00000000066 ENSACAP00000016684
ENSACAP00000000066 ENSACAP00000004668
ENSACAP00000000066 ENSACAP00000014825
ENSACAP00000000066 ENSACAP00000001802
ENSACAP00000000066 ENSACAP00000017883
ENSACAP00000000066 ENSACAP00000016739
ENSACAP00000000066 ENSACAP00000001910
ENSACAP00000000066 ENSACAP00000004268
ENSACAP00000000066 ENSACAP00000001346
ENSACAP00000000067 ENSACAP00000006856
ENSACAP00000000072 ENSACAP00000006027
ENSACAP00000000094 ENSACAP00000001821
ENSACAP00000000094 ENSACAP00000005917
ENSACAP00000000094 ENSACAP00000018523
ENSACAP00000000094 ENSACAP00000008423
ENSACAP00000000094 ENSACAP00000006243
ENSACAP00000000094 ENSACAP00000017242
ENSACAP00000000094 ENSACAP00000018798
ENSACAP00000000096 ENSACAP00000019754
ENSACAP00000000096 ENSACAP00000002927
ENSACAP00000000096 ENSACAP00000013207
ENSACAP00000000096 ENSACAP00000008626
ENSACAP00000000096 ENSACAP00000009573
ENSACAP00000000096 ENSACAP00000009079
ENSACAP00000000096 ENSACAP00000000222
ENSACAP00000000096 ENSACAP00000000960
ENSACAP00000000096 ENSACAP00000014990
ENSACAP00000000096 ENSACAP00000004084
ENSACAP00000000096 ENSACAP00000013416
ENSACAP00000000097 ENSACAP00000018070
ENSACAP00000000097 ENSACAP00000014011
ENSACAP00000000097 ENSACAP00000008352
ENSACAP00000000097 ENSACAP00000019571
ENSACAP00000000097 ENSACAP00000001478
ENSACAP00000000097 ENSACAP00000016496
ENSACAP00000000097 ENSACAP00000008079
ENSACAP00000000098 ENSACAP00000017176
ENSACAP00000000098 ENSACAP00000005482
ENSACAP00000000098 ENSACAP00000016237
ENSACAP00000000098 ENSACAP00000002608
ENSACAP00000000098 ENSACAP00000016893
ENSACAP00000000098 ENSACAP00000010830
ENSACAP00000000098 ENSACAP00000000013
ENSACAP00000000098 ENSACAP00000011119
ENSACAP00000000098 ENSACAP00000021396
ENSACAP00000000098 ENSACAP00000013193
ENSACAP00000000098 ENSACAP00000021539
ENSACAP00000000098 ENSACAP00000000189
ENSACAP00000000098 ENSACAP00000012265
ENSACAP00000000098 ENSACAP00000016275
ENSACAP00000000098 ENSACAP00000015850
ENSACAP00000000098 ENSACAP00000011422
ENSACAP00000000098 ENSACAP00000006966
ENSACAP00000000098 ENSACAP00000011927
ENSACAP00000000098 ENSACAP00000000192
ENSACAP00000000098 ENSACAP00000016014
ENSACAP00000000098 ENSACAP00000020210
ENSACAP00000000098 ENSACAP00000010388
ENSACAP00000000098 ENSACAP00000009750
ENSACAP00000000098 ENSACAP00000017186
ENSACAP00000000098 ENSACAP00000005328
ENSACAP00000000098 ENSACAP00000003169
ENSACAP00000000107 ENSACAP00000000108
ENSACAP00000000108 ENSACAP00000000107
ENSACAP00000000111 ENSACAP00000001345
ENSACAP00000000118 ENSACAP00000006924
ENSACAP00000000118 ENSACAP00000008165
ENSACAP00000000118 ENSACAP00000000660
ENSACAP00000000118 ENSACAP00000016699
ENSACAP00000000118 ENSACAP00000002161
ENSACAP00000000118 ENSACAP00000004311
ENSACAP00000000118 ENSACAP00000005788
ENSACAP00000000118 ENSACAP00000015729
ENSACAP00000000118 ENSACAP00000003735
ENSACAP00000000118 ENSACAP00000015880
ENSACAP00000000118 ENSACAP00000015227
ENSACAP00000000118 ENSACAP00000003127
ENSACAP00000000118 ENSACAP00000008780
ENSACAP00000000118 ENSACAP00000010142
ENSACAP00000000118 ENSACAP00000000649
ENSACAP00000000118 ENSACAP00000008631
ENSACAP00000000118 ENSACAP00000013221
ENSACAP00000000118 ENSACAP00000005851
ENSACAP00000000118 ENSACAP00000015926
ENSACAP00000000118 ENSACAP00000006153
ENSACAP00000000118 ENSACAP00000003389
ENSACAP00000000118 ENSACAP00000002386
ENSACAP00000000118 ENSACAP00000015999
ENSACAP00000000118 ENSACAP00000010447
ENSACAP00000000118 ENSACAP00000017476
ENSACAP00000000118 ENSACAP00000011875
ENSACAP00000000118 ENSACAP00000002928
ENSACAP00000000118 ENSACAP00000003520
ENSACAP00000000118 ENSACAP00000019027
ENSACAP00000000118 ENSACAP00000011269
ENSACAP00000000126 ENSACAP00000019338
ENSACAP00000000126 ENSACAP00000021085
ENSACAP00000000133 ENSACAP00000017552
ENSACAP00000000133 ENSACAP00000000379
ENSACAP00000000133 ENSACAP00000019904
ENSACAP00000000133 ENSACAP00000014691
ENSACAP00000000133 ENSACAP00000000267
ENSACAP00000000133 ENSACAP00000016887
ENSACAP00000000133 ENSACAP00000010705
ENSACAP00000000133 ENSACAP00000013712
ENSACAP00000000133 ENSACAP00000005262
ENSACAP00000000133 ENSACAP00000015535
ENSACAP00000000133 ENSACAP00000000344
ENSACAP00000000133 ENSACAP00000016381
ENSACAP00000000133 ENSACAP00000007087
ENSACAP00000000133 ENSACAP00000008887
ENSACAP00000000133 ENSACAP00000004816
ENSACAP00000000133 ENSACAP00000012960
ENSACAP00000000133 ENSACAP00000012899
ENSACAP00000000133 ENSACAP00000004844
ENSACAP00000000133 ENSACAP00000015429
ENSACAP00000000133 ENSACAP00000012577
ENSACAP00000000133 ENSACAP00000014811
ENSACAP00000000133 ENSACAP00000015560
ENSACAP00000000133 ENSACAP00000002582
ENSACAP00000000133 ENSACAP00000021069
ENSACAP00000000133 ENSACAP00000003932
ENSACAP00000000137 ENSACAP00000017410
ENSACAP00000000137 ENSACAP00000012163
ENSACAP00000000137 ENSACAP00000016928
ENSACAP00000000137 ENSACAP00000002683
ENSACAP00000000137 ENSACAP00000012187
ENSACAP00000000137 ENSACAP00000004972
ENSACAP00000000137 ENSACAP00000013185
ENSACAP00000000137 ENSACAP00000014490
ENSACAP00000000137 ENSACAP00000015405
ENSACAP00000000137 ENSACAP00000001036
ENSACAP00000000137 ENSACAP00000002467
ENSACAP00000000137 ENSACAP00000013166
ENSACAP00000000137 ENSACAP00000020760
ENSACAP00000000137 ENSACAP00000013132
ENSACAP00000000137 ENSACAP00000014962
ENSACAP00000000137 ENSACAP00000014283
ENSACAP00000000137 ENSACAP00000012530
ENSACAP00000000137 ENSACAP00000005856
ENSACAP00000000137 ENSACAP00000021185
ENSACAP00000000137 ENSACAP00000012656
ENSACAP00000000137 ENSACAP00000017323
ENSACAP00000000137 ENSACAP00000017398
ENSACAP00000000137 ENSACAP00000012103
ENSACAP00000000137 ENSACAP00000016208
ENSACAP00000000146 ENSACAP00000014242
